file,inboundCount,inKnip,inRoutes,inAssets,score
src/features/review/ReviewScreen.tsx,0,false,true,false,5
src/features/review/ReviewScreenDiagnostic.tsx,0,false,true,false,5
src/features/review/ReviewScreenDiagnosticV2.tsx,0,false,true,false,5
src/features/review/exportUtils.tsx,0,false,true,false,5
src/features/review/exportUtilsLazy.ts,0,false,true,false,5
src/features/showcase/AssignmentEditor.tsx,0,false,true,false,5
src/features/showcase/PolishPanel.tsx,0,false,true,false,5
src/features/showcase/ProjectShowcasePage.tsx,0,false,true,false,5
src/features/showcase/components/AssignmentCard.tsx,0,false,true,false,5
src/features/showcase/components/AssignmentPanel.tsx,0,false,true,false,5
src/features/showcase/components/CheckpointAlert.tsx,0,false,true,false,5
src/features/showcase/components/PhaseBeadge.tsx,0,false,true,false,5
src/features/showcase/components/PlanningNotesCard.tsx,0,false,true,false,5
src/features/showcase/components/RunOfShowCard.tsx,0,false,true,false,5
src/features/showcase/utils/phaseColors.ts,0,false,true,false,5
src/features/showcase/utils/scrollToElement.ts,0,false,true,false,5
src/features/showcase/utils/weekAssignmentMap.ts,0,false,true,false,5
src/features/wizard/IntakeWizardMinimal.tsx,0,false,true,false,5
src/features/wizard/WizardV3.tsx,0,false,true,false,5
src/features/wizard/WizardV3Wrapper.tsx,0,false,true,false,5
src/features/wizard/components/StageRoadmapPreview.tsx,0,false,true,false,5
src/features/wizard/config/comprehensiveSubjects.ts,0,false,true,false,5
src/features/wizard/config/realWorldContexts.ts,0,false,true,false,5
src/features/wizard/config/subjectConnections.ts,0,false,true,false,5
src/features/wizard/index.ts,0,false,true,false,5
src/features/wizard/legacy/components/ALFProcessCards.tsx,0,false,true,false,5
src/features/wizard/legacy/components/CardActionBar.tsx,0,false,true,false,5
src/features/wizard/legacy/components/DifferentiationOptionsStep.tsx,0,false,true,false,5
src/features/wizard/legacy/components/EnhancedSubjectSelector.tsx,0,false,true,false,5
src/features/wizard/legacy/components/InlineProcessGuide.tsx,0,false,true,false,5
src/features/wizard/legacy/components/IntelligentSubjectSelector.tsx,0,false,true,false,5
src/features/wizard/legacy/components/ProgressiveSubjectSelector.tsx,0,false,true,false,5
src/features/wizard/legacy/components/ProjectPreviewGenerator.tsx,0,false,true,false,5
src/features/wizard/legacy/components/WhatHappensNext.tsx,0,false,true,false,5
src/features/wizard/legacy/root/ALFOnboarding.tsx,0,false,true,false,5
src/features/wizard/legacy/root/FlexibleSubjectInput.tsx,0,false,true,false,5
src/features/wizard/legacy/root/QuickSelectionTags.tsx,0,false,true,false,5
src/features/wizard/legacy/steps/ALFIntroStep.tsx,0,false,true,false,5
src/features/wizard/legacy/steps/AgeStep.tsx,0,false,true,false,5
src/features/wizard/legacy/steps/ArtifactsRubricsStep.tsx,0,false,true,false,5
src/features/wizard/legacy/steps/DifferentiationStep.tsx,0,false,true,false,5
src/features/wizard/legacy/steps/EnhancedSubjectStep.tsx,0,false,true,false,5
src/features/wizard/legacy/steps/EvidenceLogisticsStep.tsx,0,false,true,false,5
src/features/wizard/legacy/steps/ExhibitionStep.tsx,0,false,true,false,5
src/features/wizard/legacy/steps/GoalsEQStep.tsx,0,false,true,false,5
src/features/wizard/legacy/steps/ImprovedSubjectStep.tsx,0,false,true,false,5
src/features/wizard/legacy/steps/LocationStep.tsx,0,false,true,false,5
src/features/wizard/legacy/steps/MaterialsStep.tsx,0,false,true,false,5
src/features/wizard/legacy/steps/MotivationStep.tsx,0,false,true,false,5
src/features/wizard/legacy/steps/PhasesMilestonesStep.tsx,0,false,true,false,5
src/features/wizard/legacy/steps/ReviewExportStep.tsx,0,false,true,false,5
src/features/wizard/legacy/steps/ReviewStep.tsx,0,false,true,false,5
src/features/wizard/legacy/steps/ScopeStep.tsx,0,false,true,false,5
src/features/wizard/legacy/steps/StudentsStep.tsx,0,false,true,false,5
src/features/wizard/legacy/steps/SubjectScopeStep.tsx,0,false,true,false,5
src/features/wizard/legacy/steps/SubjectStep.tsx,0,false,true,false,5
src/features/wizard/legacy/steps/VisionStep.tsx,0,false,true,false,5
src/features/wizard/steps/DesignStudioIntroStep.tsx,0,false,true,false,5
src/features/wizard/steps/ProjectIntakeStep.tsx,0,false,true,false,5
src/features/wizard/steps/StandardsAlignmentStep.tsx,0,false,true,false,5
src/features/wizard/steps/index.ts,0,false,true,false,5
src/features/wizard/types.ts,0,false,true,false,5
src/features/wizard/useWizardData.ts,0,false,true,false,5
src/features/wizard/wizardExamples.ts,0,false,true,false,5
src/features/wizard/wizardSchema.ts,0,false,true,false,5
src/features/wizard/wizardValidation.ts,0,false,true,false,5
src/pages/DebugTelemetry.tsx,0,false,true,false,5
src/pages/HeroProjectShowcase.tsx,0,false,true,false,5
src/pages/HowItWorks.tsx,0,false,true,false,5
src/pages/HowItWorksSimple.tsx,0,false,true,false,5
